name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,total_enrollment,ivy_league,tuition_avg
Florida International University,Florida,FL,Public,4 Year,10882,6558,17440,18956,29838,13,Florida,49600,90100,51,16,49610,0,23639
Florida State University,Florida,FL,Public,4 Year,10816,6516,17332,21683,32499,8,Florida,50800,92700,49,18,41226,0,24915.5
Fordham University,New York,NY,Private,4 Year,17969,52687,70656,52687,70656,17,New-York,58700,112500,38,10,15231,0,70656
Fort Hays State University,Kansas,KS,Public,4 Year,8300,5133,13433,15201,23501,16,Kansas,45100,79300,64,6,13825,0,18467
Fort Lewis College,Colorado,CO,Public,4 Year,9878,9040,18918,19696,29574,13,Colorado,48300,82600,55,19,3791,0,24246
Francis Marion University,South Carolina,SC,Public,4 Year,7948,11160,19108,21544,29492,13,South-Carolina,42900,77600,58,18,3944,0,24300
Franklin Pierce University,New Hampshire,NH,Private,4 Year,13345,36900,50245,36900,50245,7,New-Hampshire,47800,85600,52,3,2275,0,50245
Freed-Hardeman University,Tennessee,TN,Private,4 Year,8260,21950,30210,21950,30210,20,Tennessee,43700,78200,54,9,1867,0,30210
Friends University,Kansas,KS,Private,4 Year,7972,28415,36387,28415,36387,21,Kansas,44700,76500,59,14,1882,0,36387
Frostburg State University,Maryland,MD,Public,4 Year,10202,9172,19374,22892,33094,21,Maryland,49600,87000,48,19,5645,0,26234
George Fox University,Oregon,OR,Private,4 Year,11250,36020,47270,36020,47270,13,Oregon,51200,89600,52,8,3786,0,47270
George Mason University,Virginia,VA,Public,4 Year,11460,12462,23922,35922,47382,8,Virginia,58900,105700,48,23,33729,0,35652
Georgetown College,Kentucky,KY,Private,4 Year,9780,38650,48430,38650,48430,9,Kentucky,45000,81900,54,10,1262,0,48430
Georgia Southern University,Georgia,GA,Public,4 Year,10070,7422,17492,20904,30974,8,Georgia,49000,88000,49,17,20517,0,24233
Georgia State University,Georgia,GA,Public,4 Year,11378,10858,22236,29432,40810,7,Georgia,50600,90800,47,18,32556,0,31523
Gettysburg College,Pennsylvania,PA,Private,4 Year,13010,54480,67490,54480,67490,12,Pennsylvania,58400,109300,39,24,2447,0,67490
Glenville State College,West Virginia,WV,Public,4 Year,NA,7327,7327,16565,16565,17,West-Virginia,37400,67700,60,3,1802,0,11946
Goddard College,Vermont,VT,Private,4 Year,1698,16586,18284,16586,18284,10,Vermont,42700,76900,NA,0,538,0,18284
Goldey-Beacom College,Delaware,DE,Private,4 Year,6400,24300,30700,24300,30700,2,Delaware,49800,86900,42,25,2012,0,30700
Gonzaga University,Washington,WA,Private,4 Year,11944,43210,55154,43210,55154,4,Washington,57800,107600,51,19,7352,0,55154
Goucher College,Maryland,MD,Private,4 Year,14506,44300,58806,44300,58806,17,Maryland,49400,90600,42,11,2120,0,58806
Grambling State University,Louisiana,LA,Public,4 Year,7192,7435,14627,16458,23650,21,Louisiana,43100,73100,66,10,4504,0,19138.5
Granite State College,New Hampshire,NH,Public,4 Year,NA,9645,9645,10875,10875,13,New-Hampshire,43500,76900,67,3,2209,0,10260
Green Mountain College,Vermont,VT,Private,4 Year,11722,37002,48724,37002,48724,12,Vermont,42000,75200,57,2,833,0,48724
Grinnell College,Iowa,IA,Private,4 Year,12810,52392,65202,52392,65202,4,Iowa,53400,96500,49,41,1734,0,65202
Gustavus Adolphus College,Minnesota,MN,Private,4 Year,9910,45400,55310,45400,55310,7,Minnesota,51200,96800,47,22,2457,0,55310
Hamline University,Minnesota,MN,Private,4 Year,10358,41298,51656,41298,51656,14,Minnesota,48100,90400,52,5,4469,0,51656
Hampden-Sydney College,Virginia,VA,Private,4 Year,13558,45746,59304,45746,59304,6,Virginia,58300,108600,52,20,1105,0,59304
Hampton University,Virginia,VA,Private,4 Year,11778,26702,38480,26702,38480,13,Virginia,52700,92600,61,12,4393,0,38480
Hanover College,Indiana,IN,Private,4 Year,11580,37670,49250,37670,49250,18,Indiana,47500,85100,53,24,1145,0,49250
Harding University,Arkansas,AR,Private,4 Year,7044,20135,27179,20135,27179,4,Arkansas,49200,88600,47,10,6059,0,27179
Harvey Mudd College,California,CA,Private,4 Year,18127,56876,75003,56876,75003,1,California,88800,158200,55,85,804,0,75003
Hastings College,Nebraska,NE,Private,4 Year,9700,30050,39750,30050,39750,8,Nebraska,48600,87100,55,14,1212,0,39750
Haverford College,Pennsylvania,PA,Private,4 Year,16402,54592,70994,54592,70994,10,Pennsylvania,59300,112300,47,36,1194,0,70994
Hawaii Pacific University,Hawaii,HI,Private,4 Year,14800,25980,40780,25980,40780,2,Hawaii,52200,93500,56,15,5827,0,40780
Henderson State University,Arkansas,AR,Public,4 Year,7504,8436,15940,10086,17590,10,Arkansas,42900,79800,57,5,3627,0,16765
Hendrix College,Arkansas,AR,Private,4 Year,12284,45790,58074,45790,58074,2,Arkansas,48100,90300,58,33,1358,0,58074
High Point University,North Carolina,NC,Private,4 Year,14130,35118,49248,35118,49248,12,North-Carolina,48600,84300,50,8,4399,0,49248
Hofstra University,New York,NY,Private,4 Year,15948,46760,62708,46760,62708,18,New-York,57300,110400,38,7,10953,0,62708
Holy Cross College,Indiana,IN,Private,4 Year,11500,30820,42320,30820,42320,15,Indiana,48100,87800,NA,0,520,0,42320
Hood College,Maryland,MD,Private,4 Year,12700,39492,52192,39492,52192,25,Maryland,47900,82600,49,32,2365,0,52192
Hope College,Michigan,MI,Private,4 Year,10310,34010,44320,34010,44320,14,Michigan,49200,90900,51,18,3455,0,44320
Huntingdon College,Alabama,AL,Private,4 Year,9750,27400,37150,27400,37150,14,Alabama,42400,78900,69,14,1160,0,37150
Husson University,Maine,ME,Private,4 Year,9830,18180,28010,18180,28010,10,Maine,43300,77600,52,1,3415,0,28010
Idaho State University,Idaho,ID,Public,4 Year,7207,7420,14627,22940,30147,3,Idaho,50800,91800,64,12,13429,0,22387
Illinois Institute of Technology,Illinois,IL,Private,4 Year,12762,47296,60058,47296,60058,1,Illinois,64600,118500,47,64,7898,0,60058
Illinois State University,Illinois,IL,Public,4 Year,9850,14516,24366,26040,35890,16,Illinois,51200,95000,47,10,20615,0,30128
Illinois Wesleyan University,Illinois,IL,Private,4 Year,10984,47636,58620,47636,58620,12,Illinois,53100,96000,44,18,1893,0,58620
Indiana State University,Indiana,IN,Public,4 Year,10590,9090,19680,19836,30426,17,Indiana,47900,85600,55,8,13183,0,25053
Iowa State University,Iowa,IA,Public,4 Year,8720,8988,17708,23392,32112,1,Iowa,56100,101300,48,31,34435,0,24910
Jackson State University,Mississippi,MS,Public,4 Year,9552,8226,17778,19454,29006,6,Mississippi,41700,74600,67,16,9508,0,23392
Jacksonville State University,Alabama,AL,Public,4 Year,8100,10425,18525,20145,28245,12,Alabama,43800,80000,61,7,8659,0,23385
Jacksonville University,Florida,FL,Private,4 Year,14080,36670,50750,36670,50750,12,Florida,50100,90400,66,5,4085,0,50750
James Madison University,Virginia,VA,Public,4 Year,10092,12016,22108,28416,38508,9,Virginia,57400,102600,42,12,20855,0,30308
Jefferson College of Health Sciences,Virginia,VA,Private,4 Year,5870,26886,32756,26886,32756,11,Virginia,55500,97600,86,1,1131,0,32756
John Brown University,Arkansas,AR,Private,4 Year,9224,26928,36152,26928,36152,5,Arkansas,47000,82700,53,9,2850,0,36152
John Carroll University,Ohio,OH,Private,4 Year,11874,41340,53214,41340,53214,11,Ohio,51600,97300,39,16,3688,0,53214
Johns Hopkins University,Maryland,MD,Private,4 Year,15836,54240,70076,54240,70076,3,Maryland,67200,117100,57,31,21372,0,70076
Kalamazoo College,Michigan,MI,Private,4 Year,9756,48516,58272,48516,58272,8,Michigan,51600,94500,52,31,1461,0,58272
Kansas State University,Kansas,KS,Public,4 Year,9680,10263,19943,25767,35447,2,Kansas,52500,97200,51,18,24766,0,27695
Kansas Wesleyan University,Kansas,KS,Private,4 Year,9500,29500,39000,29500,39000,15,Kansas,44700,79400,61,10,710,0,39000
Kean University,New Jersey,NJ,Public,4 Year,14470,12348,26818,19383,33853,22,New-Jersey,48200,90000,51,10,14359,0,30335.5
